City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
493,Rosetta,EG,57.2,scattered clouds,31.4044,30.4164,Green Valley
495,San Quintin,MX,59.27,broken clouds,30.4833,-115.95,Old Mill Hotel
498,Garowe,SO,67.26,overcast clouds,8.4054,48.4845,Curubo Hotel
506,Cairo,EG,59.0,haze,30.0626,31.2497,Four Seasons Hotel Cairo at Nile Plaza
508,Gopalpur,IN,71.26,clear sky,19.2667,84.9167,Swosti Palm Resort
509,Porto-Vecchio,FR,57.2,broken clouds,41.591,9.2795,Hôtel Le Goéland - Casa Santini
513,Mihijam,IN,56.03,clear sky,23.8526,86.8788,Utsav Lodge & Marriage Hall
523,Ponta Delgada,PT,63.0,light rain,37.7333,-25.6667,Vila Nova Hotel
528,San Jose,US,53.01,scattered clouds,37.3394,-121.895,The Westin San Jose
529,Ahuimanu,US,73.4,light rain,21.4447,-157.8378,Paradise Bay Resort
530,Yazoo City,US,57.2,overcast clouds,32.8551,-90.4056,Hampton Inn Yazoo City
540,Shingu,JP,53.49,light rain,33.7333,135.9833,Shingu UI Hotel
541,Avera,US,59.0,clear sky,33.194,-82.5271,
547,Alexandria,EG,57.2,scattered clouds,31.2156,29.9553,Royal Crown Hotel
555,Shirdi,IN,69.15,clear sky,19.7667,74.4833,Shradha Saburi Palace
564,Lodja,CD,72.16,moderate rain,-3.4833,23.4333,
570,Narasannapeta,IN,72.28,scattered clouds,18.4167,84.05,G.lingaraju home
574,Tessaoua,NE,68.95,clear sky,13.7574,7.9874,Benin Dan Kaabou Heberge
575,Nayudupeta,IN,69.91,clear sky,13.9,79.9,Hotel Manju
585,Kijang,KR,50.0,broken clouds,35.2442,129.2139,Samyang Beach Villa
587,Rabo De Peixe,PT,63.0,light rain,37.8,-25.5833,Quinta das Giestas
592,Ambikapur,IN,56.21,clear sky,23.1167,83.2,STARiHOTEL Ambikapur
595,Ormara,PK,62.44,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
597,Orai,IN,56.08,clear sky,25.9833,79.4667,Capital O 66652 Hotel Manokamal
607,Laguna,US,52.0,scattered clouds,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
608,Te Horo,NZ,64.99,overcast clouds,-40.8084,175.1233,Cottage 103
609,Tura,IN,57.0,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
619,Hervey Bay,AU,71.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
622,Moussoro,TD,72.36,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
625,Jaguaquara,BR,72.48,light rain,-13.5306,-39.9708,Hotel Irmãos Vaz
641,Ca Mau,VN,73.69,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
642,Dahra,DZ,55.4,few clouds,36.2546,0.8519,Ein Mtabol
643,Tezu,IN,61.34,broken clouds,27.9167,96.1667,Circuit House
650,Florence,IT,51.01,light rain,43.7667,11.25,Italiana Hotels Florence
655,Nelson Bay,AU,70.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
656,Rasinari,RO,50.0,clear sky,45.7,24.0667,Pension Mai
