City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vaini,TO,2021-01-20 21:08:21,-21.2,-175.2,84.2,84,75,10.36
68,Bluff,NZ,2021-01-20 21:08:21,-46.6,168.3333,52.0,90,88,14.0
69,Jamestown,US,2021-01-20 21:08:21,42.097,-79.2353,21.99,73,90,17.27
70,Guider,CM,2021-01-20 21:08:21,9.9342,13.9486,73.33,20,0,8.37
71,Fortuna,US,2021-01-20 21:08:21,40.5982,-124.1573,62.01,33,1,3.96
72,Flin Flon,CA,2021-01-20 21:08:21,54.7682,-101.865,17.6,79,90,10.36
73,Kruisfontein,ZA,2021-01-20 21:08:21,-34.0033,24.7314,69.01,77,21,5.01
74,Gaoual,GN,2021-01-20 21:08:22,11.75,-13.2,77.41,16,27,1.97
75,Qaanaaq,GL,2021-01-20 21:08:22,77.484,-69.3632,26.42,88,100,14.81
76,Redlands,US,2021-01-20 21:04:20,34.0556,-117.1825,73.4,23,20,9.22
77,Kungurtug,RU,2021-01-20 21:08:22,50.5994,97.5228,0.32,86,53,0.87
78,Mehamn,NO,2021-01-20 21:08:22,71.0357,27.8492,19.4,93,90,3.44
79,Bredasdorp,ZA,2021-01-20 21:08:22,-34.5322,20.0403,66.2,72,32,9.22
80,Longyearbyen,SJ,2021-01-20 21:08:22,78.2186,15.6401,17.6,57,40,19.57
81,Narsaq,GL,2021-01-20 21:08:22,60.9167,-46.05,37.4,28,45,23.02
82,Dong Hoi,VN,2021-01-20 21:08:23,17.4833,106.6,66.34,86,100,2.57
83,Vardo,NO,2021-01-20 21:08:23,70.3705,31.1107,24.8,54,75,18.41
84,Geraldton,AU,2021-01-20 21:08:23,-28.7667,114.6,75.2,78,90,13.8
85,Moroto,UG,2021-01-20 21:08:23,2.5345,34.6666,71.47,44,100,6.6
86,Harper,LR,2021-01-20 21:08:23,4.375,-7.7169,79.18,81,37,4.56
87,Swan River,CA,2021-01-20 21:08:23,52.1058,-101.2676,35.6,75,100,13.8
88,Rikitea,PF,2021-01-20 21:08:23,-23.1203,-134.9692,78.4,75,3,14.34
89,Fayaoue,NC,2021-01-20 21:08:24,-20.65,166.5333,79.16,77,100,20.45
90,Kloulklubed,PW,2021-01-20 21:08:24,7.0419,134.2556,80.6,83,75,9.22
91,Zhovti Vody,UA,2021-01-20 21:08:24,48.3473,33.5003,14.0,79,90,11.18
92,Kupang,ID,2021-01-20 21:08:24,-10.1667,123.5833,78.91,84,100,9.28
93,Payson,US,2021-01-20 21:08:24,40.0444,-111.7321,46.0,52,20,4.61
94,La Ronge,CA,2021-01-20 21:08:24,55.1001,-105.2842,28.4,80,90,20.71
95,Plettenberg Bay,ZA,2021-01-20 21:08:25,-34.0527,23.3716,65.7,88,10,5.86
96,Avarua,CK,2021-01-20 21:08:25,-21.2078,-159.775,84.2,74,20,9.22
97,Arraial Do Cabo,BR,2021-01-20 21:08:25,-22.9661,-42.0278,82.4,78,0,18.41
98,Bairiki,KI,2021-01-20 21:08:25,1.3292,172.9752,82.4,74,20,11.5
99,Port Alfred,ZA,2021-01-20 21:08:25,-33.5906,26.891,66.99,84,56,16.91
100,Klaksvik,FO,2021-01-20 21:08:25,62.2266,-6.589,37.4,75,20,24.16
101,Constitucion,CL,2021-01-20 21:08:25,-35.3333,-72.4167,65.77,71,55,5.55
102,Dingle,PH,2021-01-20 21:08:25,10.9995,122.6711,74.84,91,99,3.02
103,Katsuura,JP,2021-01-20 21:08:26,35.1333,140.3,35.6,64,20,4.61
104,Shu,KZ,2021-01-20 21:07:10,43.5983,73.7614,35.04,84,100,4.07
105,Bathsheba,BB,2021-01-20 21:08:26,13.2167,-59.5167,73.4,83,75,13.8
106,Port Hueneme,US,2021-01-20 21:04:32,34.1478,-119.1951,77.0,21,1,25.32
107,Te Anau,NZ,2021-01-20 21:08:26,-45.4167,167.7167,51.98,83,65,2.28
108,Lagunillas,VE,2021-01-20 21:08:26,10.1301,-71.2595,84.76,60,31,8.79
109,Marsa Matruh,EG,2021-01-20 21:08:26,31.3525,27.2453,53.6,62,40,6.91
110,Baculin,PH,2021-01-20 21:08:27,7.4525,126.5842,78.21,78,93,4.18
111,Fairlie,GB,2021-01-20 21:08:27,55.756,-4.8556,33.01,94,99,7.78
112,Doha,QA,2021-01-20 21:08:05,25.2867,51.5333,64.4,88,0,6.91
113,Ormond Beach,US,2021-01-20 21:08:27,29.2858,-81.0559,72.0,30,1,9.22
114,Yerbogachen,RU,2021-01-20 21:08:27,61.2767,108.0108,-39.35,80,100,3.42
115,Lata,PT,2021-01-20 21:08:28,40.1629,-8.3327,57.0,93,79,8.01
116,Freeport,US,2021-01-20 21:07:23,40.6576,-73.5832,37.4,32,20,17.27
117,Luba,GQ,2021-01-20 21:08:28,3.4568,8.5547,78.8,79,20,4.61
118,Pacific Grove,US,2021-01-20 21:04:29,36.6177,-121.9166,69.01,27,1,6.91
